school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,G1,G2,G3
GP,F,18,U,GT3,A,superior,superior,at_home,teacher,course,mother,de quince min. a treinta min.,de dos a cinco horas,0,yes,no,no,no,yes,yes,no,no,Muy Buena,Normal,Alto,Muy Bajo,Muy Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,F,17,U,GT3,T,4 grado,4 grado,at_home,other,course,father,menos de quince min.,de dos a cinco horas,0,no,yes,no,no,no,yes,yes,no,excelente,Normal,Normal,Muy Bajo,Muy Bajo,Normal,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,LE3,T,4 grado,4 grado,at_home,other,other,mother,menos de quince min.,de dos a cinco horas,3,yes,no,yes,no,yes,yes,yes,no,Muy Buena,Normal,Bajo,Bajo,Normal,Normal,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,GT3,T,superior,5-9 grado,health,services,home,mother,menos de quince min.,de cinco a diez horas,0,no,yes,yes,yes,yes,yes,yes,yes,Buena,Bajo,Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Bueno,Bueno,Bueno
GP,F,16,U,GT3,T,secundaria,secundaria,other,other,home,father,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,no,no,Muy Buena,Normal,Bajo,Muy Bajo,Bajo,Muy Bueno,Insuficiente,Insuficiente,Insuficiente
GP,M,16,U,LE3,T,superior,secundaria,services,other,reputation,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,yes,yes,yes,yes,no,excelente,Alto,Bajo,Muy Bajo,Bajo,Muy Bueno,Bueno,Bueno,Bueno
GP,M,16,U,LE3,T,5-9 grado,5-9 grado,other,other,home,mother,menos de quince min.,de dos a cinco horas,0,no,no,no,no,yes,yes,yes,no,Muy Buena,Alto,Alto,Muy Bajo,Muy Bajo,Normal,Regular,Regular,Insuficiente
GP,F,17,U,GT3,A,superior,superior,other,teacher,home,mother,de quince min. a treinta min.,de dos a cinco horas,0,yes,yes,no,no,yes,yes,no,no,Muy Buena,Muy Bajo,Alto,Muy Bajo,Muy Bajo,Muy Malo,Insuficiente,Insuficiente,Insuficiente
GP,M,15,U,LE3,A,secundaria,5-9 grado,services,other,home,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,yes,no,Muy Buena,Bajo,Bajo,Muy Bajo,Muy Bajo,Muy Malo,Muy Bueno,Muy Bueno,Sobresaliente
GP,M,15,U,GT3,T,secundaria,superior,other,other,home,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,yes,yes,yes,yes,no,excelente,Muy Alto,Muy Bajo,Muy Bajo,Muy Bajo,Muy Bueno,Bueno,Bueno,Bueno
GP,F,15,U,GT3,T,superior,superior,teacher,health,reputation,mother,menos de quince min.,de dos a cinco horas,0,no,yes,yes,no,yes,yes,yes,no,Buena,Normal,Normal,Muy Bajo,Bajo,Malo,Insuficiente,Insuficiente,Insuficiente
GP,F,15,U,GT3,T,5-9 grado,4 grado,services,other,reputation,father,de treinta min. a una hora,de cinco a diez horas,0,no,yes,no,yes,yes,yes,yes,no,excelente,Bajo,Bajo,Muy Bajo,Muy Bajo,Bueno,Insuficiente,Regular,Regular
